citing_opinion_id,cited_opinion_id
1070669,1363722
1070669,1289832
1070669,1261417
1070669,1262698
1070669,1068302
1070669,1359194
1070669,1341885
1072686,2458272
1072686,3894823
1072686,1499752
1072686,1563369
1072686,1680490
1072686,1504519
1072686,3892496
1072686,2454920
1072686,2429267
1072686,1564951
1072686,1471642
1074526,1745560
1074526,1726604
1076125,2403296
1076125,1780609
1076125,2363163
1076125,1060708
1076125,2384257
1076125,2406024
1076125,1060681
1076125,1720938
1076125,1518420
1076125,1061014
1076125,1060569
1076125,1747577
1076125,110138
1076125,1740283
1076125,1060573
1077613,1318360
1078885,2464056
1078885,110138
1078885,1060703
1078885,2383811
1078885,1060934
1078885,2450122
1078885,1518420
1078885,1664341
1078885,1060826
1078885,1060573
1629615,387201
1629615,109570
1629615,263044
1629615,110470
1629615,105866
1629615,365454
1629615,105746
1629615,108182
1629615,374808
1629615,397854
1039162,2178785
1039162,1966073
1039162,1540607
1039162,1908151
1042466,2292964
1042466,1400453
1042466,2632007
1042466,2134518
1042466,2250318
182334,112642
1042466,2300783
1042466,2305526
1042466,2570839
1045435,1060500
1048184,1074081
1048184,1664451
1048184,1984324
1048184,112470
1048184,1057702
1048184,1060700
1048184,3893932
1048184,1526095
1048184,2388306
1048184,1058755
1048184,1060918
1048184,106761
1048184,2429720
1048184,1971578
1048184,1534971
1048184,1053884
1048184,1060638
1048184,2361951
1050920,1060512
1050920,111170
1050920,111539
1050920,1667196
1050920,112807
1053620,2362733
1053620,1676400
1053620,1060945
1053620,1518420
1053620,110138
1053620,2461340
1053620,1484157
1056243,1083474
1056243,2429522
1056243,2385231
1056243,1060560
1056243,1638328
1056243,1751570
1056243,1717810
1056243,1504696
1056243,1740283
1056243,2385308
1056243,1512446
1058757,1059300
1058757,1059184
1058757,1059061
1058757,1059479
1058757,1059771
1058757,1238622
1061335,1065345
1061335,1212547
1061335,1061686
1061335,1060167
1061335,1064588
1061335,1058703
1061335,1063988
1061335,1348310
1061335,1205593
1061335,1238681
1061335,1058141
1063836,112898
1063836,1067172
1063836,1058825
1063836,1064778
1063836,1067330
1063836,1233326
1063836,1063951
1063836,1063266
1063836,1065688
1063836,1063826
1063836,106037
1063836,1248503
1063836,1308280
1063836,1058985
1063836,1059674
1063836,1359164
1063836,1409054
1063836,1058965
1066279,1311649
1066279,1269986
1066279,1347850
1066279,1216236
1066279,1242733
1066279,1307984
1066279,1267537
1066279,1339028
1066279,1376765
1066279,1338463
1068546,1385409
1068546,1250595
1068546,1067172
1068546,1068006
1068546,1066195
1068546,1301863
1068546,1064648
1068546,1410220
1068546,1400686
1068546,1336431
1068546,1334258
1068546,1323667
1068546,1205045
1068546,1326390
1068546,1066521
1068546,1252825
1068546,1255388
1070678,1364634
1070678,1318739
1070678,1060210
1072695,2429786
1072695,1796635
1072695,2591228
1074522,2445260
1074522,2119709
1074522,1681933
1074522,1716750
1074522,2459935
1076141,1255425
1076141,1222810
1076141,1247891
1076141,1343698
1076141,1228830
1077627,1060170
1078885,1518815
1078885,1060587
1078885,2107500
1078885,1082862
1078885,1506546
1078885,1081467
1078885,1060989
1080015,106515
1080015,702612
1080015,1789717
1080015,2425751
1080015,1061017
1080015,1758750
1080015,1471137
1080015,108967
1080015,1096104
1080015,513195
1080015,1414960
1080015,1753160
1080015,2464056
1080015,110138
1080015,1082688
1080015,768968
1080015,1169230
1080015,1768015
1080015,1518420
1080015,1740622
1080015,108377
1080015,1060826
1080015,112475
1080015,330718
1080015,2462689
1080015,1685740
1080015,2457074
1080015,1082356
1080015,1060855
1080015,1199096
1080015,734228
1080015,2277242
1080015,2419733
1080936,104357
1080936,448902
1080936,2467774
